hidden_layers,neurons_per_layer,optimizer,loss,accuracy
1,32,adam,0.5559900999069214,0.7272594571113586
1,32,sgd,0.5553090572357178,0.7246355414390564
1,32,rmsprop,0.5635942220687866,0.7218658924102783
1,64,adam,0.5543779730796814,0.7301748991012573
1,64,sgd,0.554110050201416,0.7263848185539246
1,64,rmsprop,0.5644211173057556,0.7271137237548828
1,128,adam,0.5559724569320679,0.7221574187278748
1,128,sgd,0.5537832379341125,0.7303206920623779
1,128,rmsprop,0.5747273564338684,0.7234693765640259
2,32,adam,0.5585120320320129,0.725218653678894
2,32,sgd,0.5547646284103394,0.729300320148468
2,32,rmsprop,0.5636090636253357,0.7234693765640259
2,64,adam,0.5653911232948303,0.7255101799964905
2,64,sgd,0.5549306869506836,0.7259474992752075
2,64,rmsprop,0.5635091066360474,0.7221574187278748
2,128,adam,0.5757425427436829,0.7263848185539246
2,128,sgd,0.5543994307518005,0.7281340956687927
2,128,rmsprop,0.5690428018569946,0.7255101799964905
3,32,adam,0.5615931749343872,0.7278425693511963
3,32,sgd,0.5545740127563477,0.7241982221603394
3,32,rmsprop,0.5785513520240784,0.7250728607177734
3,64,adam,0.5893469452857971,0.7287172079086304
3,64,sgd,0.55525803565979,0.7263848185539246
3,64,rmsprop,0.5946024656295776,0.7225947380065918
3,128,adam,0.5894410610198975,0.7279883623123169
3,128,sgd,0.5543996095657349,0.7268221378326416
3,128,rmsprop,0.687424898147583,0.72434401512146
